Id,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Date
2026352035,1,524,548,2016-05-06T00:00:00Z
2026352035,1,511,521,2016-05-07T00:00:00Z
2026352035,1,541,568,2016-05-08T00:00:00Z
2026352035,1,531,556,2016-05-09T00:00:00Z
2026352035,1,357,380,2016-05-10T00:00:00Z
2026352035,1,523,553,2016-05-11T00:00:00Z
2026352035,1,456,485,2016-05-12T00:00:00Z
2320127002,1,61,69,2016-04-23T00:00:00Z
2347167796,1,467,531,2016-04-13T00:00:00Z
2347167796,1,445,489,2016-04-14T00:00:00Z
2347167796,1,452,504,2016-04-15T00:00:00Z
2347167796,1,556,602,2016-04-17T00:00:00Z
2347167796,1,500,557,2016-04-18T00:00:00Z
2347167796,1,465,514,2016-04-19T00:00:00Z
2347167796,1,460,484,2016-04-21T00:00:00Z
2347167796,1,405,461,2016-04-22T00:00:00Z
2347167796,1,374,386,2016-04-23T00:00:00Z
2347167796,1,442,459,2016-04-24T00:00:00Z
2347167796,1,433,471,2016-04-25T00:00:00Z
2347167796,1,436,490,2016-04-26T00:00:00Z
2347167796,1,448,499,2016-04-27T00:00:00Z
2347167796,1,408,450,2016-04-28T00:00:00Z
2347167796,1,411,473,2016-04-29T00:00:00Z
3977333714,1,274,469,2016-04-12T00:00:00Z
3977333714,2,295,456,2016-04-13T00:00:00Z
3977333714,1,291,397,2016-04-14T00:00:00Z
3977333714,1,424,556,2016-04-15T00:00:00Z
3977333714,1,283,510,2016-04-16T00:00:00Z
3977333714,1,381,566,2016-04-17T00:00:00Z
3977333714,2,412,522,2016-04-18T00:00:00Z
3977333714,1,219,395,2016-04-19T00:00:00Z
3977333714,2,152,305,2016-04-20T00:00:00Z
3977333714,1,332,512,2016-04-21T00:00:00Z
3977333714,1,355,476,2016-04-22T00:00:00Z
3977333714,1,235,372,2016-04-23T00:00:00Z
3977333714,1,310,526,2016-04-24T00:00:00Z
3977333714,1,262,467,2016-04-25T00:00:00Z
3977333714,1,250,371,2016-04-26T00:00:00Z
3977333714,1,349,540,2016-04-27T00:00:00Z
3977333714,1,261,423,2016-04-28T00:00:00Z
3977333714,1,333,478,2016-04-29T00:00:00Z
3977333714,1,237,382,2016-04-30T00:00:00Z
3977333714,1,383,626,2016-05-01T00:00:00Z
3977333714,1,230,384,2016-05-02T00:00:00Z
3977333714,1,292,500,2016-05-03T00:00:00Z
3977333714,1,213,336,2016-05-04T00:00:00Z
3977333714,1,318,480,2016-05-05T00:00:00Z
3977333714,1,323,512,2016-05-06T00:00:00Z
3977333714,1,237,443,2016-05-07T00:00:00Z
3977333714,2,259,456,2016-05-08T00:00:00Z
3977333714,1,312,452,2016-05-10T00:00:00Z
4020332650,1,501,541,2016-04-12T00:00:00Z
4020332650,1,77,77,2016-04-16T00:00:00Z
4020332650,1,322,332,2016-05-03T00:00:00Z
4020332650,1,478,536,2016-05-04T00:00:00Z
4020332650,1,226,248,2016-05-05T00:00:00Z
4020332650,1,385,408,2016-05-06T00:00:00Z
4020332650,1,364,402,2016-05-08T00:00:00Z
4020332650,1,442,494,2016-05-10T00:00:00Z
4319703577,1,535,557,2016-04-14T00:00:00Z
4319703577,1,465,491,2016-04-15T00:00:00Z
4319703577,1,506,522,2016-04-16T00:00:00Z
4319703577,1,515,551,2016-04-18T00:00:00Z
4319703577,2,461,498,2016-04-19T00:00:00Z
4319703577,1,523,543,2016-04-20T00:00:00Z
4319703577,1,59,65,2016-04-21T00:00:00Z
4319703577,1,533,550,2016-04-22T00:00:00Z
4319703577,1,692,722,2016-04-23T00:00:00Z
4319703577,1,467,501,2016-04-24T00:00:00Z
4319703577,1,488,506,2016-04-25T00:00:00Z
4319703577,1,505,516,2016-04-26T00:00:00Z
4319703577,1,286,307,2016-04-27T00:00:00Z
4319703577,1,497,522,2016-04-28T00:00:00Z
4319703577,1,523,546,2016-04-29T00:00:00Z
4319703577,1,490,516,2016-04-30T00:00:00Z
4319703577,1,484,500,2016-05-01T00:00:00Z
4319703577,1,478,506,2016-05-02T00:00:00Z
4319703577,1,474,512,2016-05-03T00:00:00Z
4319703577,1,450,491,2016-05-06T00:00:00Z
4319703577,1,507,530,2016-05-07T00:00:00Z
4319703577,1,602,638,2016-05-08T00:00:00Z
4319703577,1,535,565,2016-05-09T00:00:00Z
4319703577,1,487,517,2016-05-10T00:00:00Z
4319703577,1,529,558,2016-05-11T00:00:00Z
4319703577,1,302,321,2016-05-12T00:00:00Z
4388161847,1,499,526,2016-04-15T00:00:00Z
4388161847,2,426,448,2016-04-16T00:00:00Z
4388161847,2,619,641,2016-04-17T00:00:00Z
4388161847,1,99,104,2016-04-18T00:00:00Z
4388161847,1,329,338,2016-04-19T00:00:00Z
4388161847,1,421,451,2016-04-20T00:00:00Z
4388161847,1,442,458,2016-04-21T00:00:00Z
4388161847,1,82,85,2016-04-22T00:00:00Z
4388161847,1,478,501,2016-04-23T00:00:00Z
4388161847,3,552,595,2016-04-24T00:00:00Z
4388161847,1,319,346,2016-04-26T00:00:00Z
4388161847,1,439,500,2016-04-27T00:00:00Z
4388161847,1,428,458,2016-04-28T00:00:00Z
4388161847,2,409,430,2016-04-30T00:00:00Z
4388161847,1,547,597,2016-05-01T00:00:00Z
4388161847,2,368,376,2016-05-02T00:00:00Z
4388161847,1,390,414,2016-05-04T00:00:00Z
4388161847,1,471,495,2016-05-05T00:00:00Z
4388161847,1,472,496,2016-05-07T00:00:00Z
4388161847,2,529,541,2016-05-08T00:00:00Z
4388161847,1,62,65,2016-05-09T00:00:00Z
4388161847,1,354,375,2016-05-10T00:00:00Z
4388161847,1,469,494,2016-05-11T00:00:00Z
4445114986,2,429,457,2016-04-12T00:00:00Z
4445114986,2,370,406,2016-04-13T00:00:00Z
4445114986,1,441,492,2016-04-14T00:00:00Z
4445114986,2,337,379,2016-04-15T00:00:00Z
4445114986,1,462,499,2016-04-16T00:00:00Z
4445114986,1,98,107,2016-04-17T00:00:00Z
4445114986,2,388,424,2016-04-19T00:00:00Z
4445114986,1,439,462,2016-04-20T00:00:00Z
4445114986,1,436,469,2016-04-21T00:00:00Z
4445114986,1,388,417,2016-04-22T00:00:00Z
4445114986,1,328,345,2016-04-25T00:00:00Z
4445114986,2,353,391,2016-04-26T00:00:00Z
4445114986,1,332,374,2016-04-27T00:00:00Z
4445114986,1,419,442,2016-04-28T00:00:00Z
4445114986,1,106,108,2016-04-29T00:00:00Z
4445114986,1,322,353,2016-04-30T00:00:00Z
4445114986,2,439,459,2016-05-01T00:00:00Z
4445114986,1,502,542,2016-05-02T00:00:00Z
4445114986,2,417,450,2016-05-03T00:00:00Z
4445114986,2,337,363,2016-05-04T00:00:00Z
4445114986,2,462,513,2016-05-05T00:00:00Z
4445114986,2,374,402,2016-05-06T00:00:00Z
4445114986,2,401,436,2016-05-07T00:00:00Z
4445114986,1,361,391,2016-05-08T00:00:00Z
4445114986,1,457,533,2016-05-09T00:00:00Z
4445114986,1,405,426,2016-05-10T00:00:00Z
4445114986,1,499,530,2016-05-11T00:00:00Z
4445114986,1,483,501,2016-05-12T00:00:00Z
4558609924,1,126,137,2016-04-21T00:00:00Z
4558609924,1,103,121,2016-04-26T00:00:00Z
4558609924,1,171,179,2016-04-29T00:00:00Z
